INFO: start
INFO: Clearing chip ... done
INFO: Writing control logic chip number 1
INFO: instrAndStep=0056, address=0056, enabled=0, bVal=0
INFO: instrAndStep=0056, address=00d6, enabled=0, bVal=0
INFO: instrAndStep=0056, address=0156, enabled=0, bVal=0
INFO: instrAndStep=0056, address=01d6, enabled=0, bVal=0
INFO: instrAndStep=0057, address=0057, enabled=0, bVal=0
INFO: instrAndStep=0057, address=00d7, enabled=0, bVal=0
INFO: instrAndStep=0057, address=0157, enabled=0, bVal=0
INFO: instrAndStep=0057, address=01d7, enabled=0, bVal=0
INFO: instrAndStep=0058, address=0058, enabled=1, bVal=4
INFO: instrAndStep=0058, address=00d8, enabled=1, bVal=4
INFO: instrAndStep=0058, address=0158, enabled=1, bVal=4
INFO: instrAndStep=0058, address=01d8, enabled=1, bVal=4
INFO: instrAndStep=0059, address=0059, enabled=1, bVal=8
INFO: instrAndStep=0059, address=00d9, enabled=1, bVal=8
INFO: instrAndStep=0059, address=0159, enabled=1, bVal=8
INFO: instrAndStep=0059, address=01d9, enabled=1, bVal=8
INFO: instrAndStep=005a, address=005a, enabled=1, bVal=2
INFO: instrAndStep=005a, address=00da, enabled=0, bVal=2
INFO: instrAndStep=005a, address=015a, enabled=0, bVal=2
INFO: instrAndStep=005a, address=01da, enabled=0, bVal=2
INFO: instrAndStep=005b, address=005b, enabled=1, bVal=0
INFO: instrAndStep=005b, address=00db, enabled=0, bVal=0
INFO: instrAndStep=005b, address=015b, enabled=0, bVal=0
INFO: instrAndStep=005b, address=01db, enabled=0, bVal=0
INFO: instrAndStep=005c, address=005c, enabled=1, bVal=0
INFO: instrAndStep=005c, address=00dc, enabled=0, bVal=0
INFO: instrAndStep=005c, address=015c, enabled=0, bVal=0
INFO: instrAndStep=005c, address=01dc, enabled=0, bVal=0
INFO: instrAndStep=005d, address=005d, enabled=1, bVal=0
INFO: instrAndStep=005d, address=00dd, enabled=0, bVal=0
INFO: instrAndStep=005d, address=015d, enabled=0, bVal=0
INFO: instrAndStep=005d, address=01dd, enabled=0, bVal=0
INFO: instrAndStep=005e, address=005e, enabled=1, bVal=0
INFO: instrAndStep=005e, address=00de, enabled=0, bVal=0
INFO: instrAndStep=005e, address=015e, enabled=0, bVal=0
INFO: instrAndStep=005e, address=01de, enabled=0, bVal=0
INFO: instrAndStep=005f, address=005f, enabled=1, bVal=0
INFO: instrAndStep=005f, address=00df, enabled=0, bVal=0
INFO: instrAndStep=005f, address=015f, enabled=0, bVal=0
INFO: instrAndStep=005f, address=01df, enabled=0, bVal=0
INFO: instrAndStep=0060, address=0060, enabled=1, bVal=4
INFO: instrAndStep=0060, address=00e0, enabled=1, bVal=4
INFO: instrAndStep=0060, address=0160, enabled=1, bVal=4
INFO: instrAndStep=0060, address=01e0, enabled=1, bVal=4
INFO: instrAndStep=0061, address=0061, enabled=1, bVal=8
INFO: instrAndStep=0061, address=00e1, enabled=1, bVal=8
INFO: instrAndStep=0061, address=0161, enabled=1, bVal=8
INFO: instrAndStep=0061, address=01e1, enabled=1, bVal=8
INFO: instrAndStep=0062, address=0062, enabled=1, bVal=2
INFO: instrAndStep=0062, address=00e2, enabled=0, bVal=2
INFO: instrAndStep=0062, address=0162, enabled=0, bVal=2
INFO: instrAndStep=0062, address=01e2, enabled=0, bVal=2
INFO: instrAndStep=0063, address=0063, enabled=1, bVal=0
INFO: instrAndStep=0063, address=00e3, enabled=0, bVal=0
INFO: instrAndStep=0063, address=0163, enabled=0, bVal=0
INFO: instrAndStep=0063, address=01e3, enabled=0, bVal=0
INFO: instrAndStep=0064, address=0064, enabled=1, bVal=0
INFO: instrAndStep=0064, address=00e4, enabled=0, bVal=0
INFO: instrAndStep=0064, address=0164, enabled=0, bVal=0
INFO: instrAndStep=0064, address=01e4, enabled=0, bVal=0
INFO: instrAndStep=0065, address=0065, enabled=1, bVal=0
INFO: instrAndStep=0065, address=00e5, enabled=0, bVal=0
INFO: instrAndStep=0065, address=0165, enabled=0, bVal=0
INFO: instrAndStep=0065, address=01e5, enabled=0, bVal=0
INFO: instrAndStep=0066, address=0066, enabled=1, bVal=0
INFO: instrAndStep=0066, address=00e6, enabled=0, bVal=0
INFO: instrAndStep=0066, address=0166, enabled=0, bVal=0
INFO: instrAndStep=0066, address=01e6, enabled=0, bVal=0
INFO: instrAndStep=0067, address=0067, enabled=1, bVal=0
INFO: instrAndStep=0067, address=00e7, enabled=0, bVal=0
INFO: instrAndStep=0067, address=0167, enabled=0, bVal=0
INFO: instrAndStep=0067, address=01e7, enabled=0, bVal=0
INFO: instrAndStep=0068, address=0068, enabled=1, bVal=4
INFO: instrAndStep=0068, address=00e8, enabled=1, bVal=4
INFO: instrAndStep=0068, address=0168, enabled=1, bVal=4
INFO: instrAndStep=0068, address=01e8, enabled=1, bVal=4
INFO: instrAndStep=0069, address=0069, enabled=1, bVal=8
INFO: instrAndStep=0069, address=00e9, enabled=1, bVal=8
INFO: instrAndStep=0069, address=0169, enabled=1, bVal=8
INFO: instrAndStep=0069, address=01e9, enabled=1, bVal=8
INFO: instrAndStep=006a, address=006a, enabled=0, bVal=2
INFO: instrAndStep=006a, address=00ea, enabled=1, bVal=2
INFO: instrAndStep=006a, address=016a, enabled=1, bVal=2
INFO: instrAndStep=006a, address=01ea, enabled=1, bVal=2
INFO: instrAndStep=006b, address=006b, enabled=0, bVal=0
INFO: instrAndStep=006b, address=00eb, enabled=1, bVal=0
INFO: instrAndStep=006b, address=016b, enabled=1, bVal=0
INFO: instrAndStep=006b, address=01eb, enabled=1, bVal=0
INFO: instrAndStep=006c, address=006c, enabled=0, bVal=0
INFO: instrAndStep=006c, address=00ec, enabled=1, bVal=0
INFO: instrAndStep=006c, address=016c, enabled=1, bVal=0
INFO: instrAndStep=006c, address=01ec, enabled=1, bVal=0
INFO: instrAndStep=006d, address=006d, enabled=0, bVal=0
INFO: instrAndStep=006d, address=00ed, enabled=1, bVal=0
INFO: instrAndStep=006d, address=016d, enabled=1, bVal=0
INFO: instrAndStep=006d, address=01ed, enabled=1, bVal=0
INFO: instrAndStep=006e, address=006e, enabled=0, bVal=0
INFO: instrAndStep=006e, address=00ee, enabled=1, bVal=0
